Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,83014,1967,01,01,,,
IDCJAC0010,83014,1967,01,02,,,
IDCJAC0010,83014,1967,01,03,,,
IDCJAC0010,83014,1967,01,04,,,
IDCJAC0010,83014,1967,01,05,,,
IDCJAC0010,83014,1967,01,06,,,
IDCJAC0010,83014,1967,01,07,,,
IDCJAC0010,83014,1967,01,08,,,
IDCJAC0010,83014,1967,01,09,,,
IDCJAC0010,83014,1967,01,10,,,
IDCJAC0010,83014,1967,01,11,,,
IDCJAC0010,83014,1967,01,12,,,
IDCJAC0010,83014,1967,01,13,,,
IDCJAC0010,83014,1967,01,14,,,
IDCJAC0010,83014,1967,01,15,,,
IDCJAC0010,83014,1967,01,16,,,
IDCJAC0010,83014,1967,01,17,,,
IDCJAC0010,83014,1967,01,18,,,
IDCJAC0010,83014,1967,01,19,,,
IDCJAC0010,83014,1967,01,20,,,
IDCJAC0010,83014,1967,01,21,,,
IDCJAC0010,83014,1967,01,22,,,
IDCJAC0010,83014,1967,01,23,,,
IDCJAC0010,83014,1967,01,24,,,
IDCJAC0010,83014,1967,01,25,,,
IDCJAC0010,83014,1967,01,26,,,
IDCJAC0010,83014,1967,01,27,,,
IDCJAC0010,83014,1967,01,28,,,
IDCJAC0010,83014,1967,01,29,,,
IDCJAC0010,83014,1967,01,30,,,
IDCJAC0010,83014,1967,01,31,,,
IDCJAC0010,83014,1967,02,01,,,
IDCJAC0010,83014,1967,02,02,,,
IDCJAC0010,83014,1967,02,03,,,
IDCJAC0010,83014,1967,02,04,,,
IDCJAC0010,83014,1967,02,05,,,
IDCJAC0010,83014,1967,02,06,,,
IDCJAC0010,83014,1967,02,07,,,
IDCJAC0010,83014,1967,02,08,,,
IDCJAC0010,83014,1967,02,09,,,
IDCJAC0010,83014,1967,02,10,,,
IDCJAC0010,83014,1967,02,11,,,
IDCJAC0010,83014,1967,02,12,,,
IDCJAC0010,83014,1967,02,13,,,
IDCJAC0010,83014,1967,02,14,,,
IDCJAC0010,83014,1967,02,15,,,
IDCJAC0010,83014,1967,02,16,,,
IDCJAC0010,83014,1967,02,17,,,
IDCJAC0010,83014,1967,02,18,,,
IDCJAC0010,83014,1967,02,19,,,
IDCJAC0010,83014,1967,02,20,,,
IDCJAC0010,83014,1967,02,21,,,
IDCJAC0010,83014,1967,02,22,,,
IDCJAC0010,83014,1967,02,23,,,
IDCJAC0010,83014,1967,02,24,,,
IDCJAC0010,83014,1967,02,25,,,
IDCJAC0010,83014,1967,02,26,,,
IDCJAC0010,83014,1967,02,27,,,
IDCJAC0010,83014,1967,02,28,,,
IDCJAC0010,83014,1967,03,01,,,
IDCJAC0010,83014,1967,03,02,,,
IDCJAC0010,83014,1967,03,03,,,
IDCJAC0010,83014,1967,03,04,,,
IDCJAC0010,83014,1967,03,05,,,
IDCJAC0010,83014,1967,03,06,,,
IDCJAC0010,83014,1967,03,07,,,
IDCJAC0010,83014,1967,03,08,,,
IDCJAC0010,83014,1967,03,09,,,
IDCJAC0010,83014,1967,03,10,,,
IDCJAC0010,83014,1967,03,11,,,
IDCJAC0010,83014,1967,03,12,,,
IDCJAC0010,83014,1967,03,13,,,
IDCJAC0010,83014,1967,03,14,,,
IDCJAC0010,83014,1967,03,15,,,
IDCJAC0010,83014,1967,03,16,,,
