Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,88166,2018,01,01,,,
IDCJAC0011,88166,2018,01,02,,,
IDCJAC0011,88166,2018,01,03,,,
IDCJAC0011,88166,2018,01,04,,,
IDCJAC0011,88166,2018,01,05,,,
IDCJAC0011,88166,2018,01,06,,,
IDCJAC0011,88166,2018,01,07,,,
IDCJAC0011,88166,2018,01,08,,,
IDCJAC0011,88166,2018,01,09,,,
IDCJAC0011,88166,2018,01,10,,,
IDCJAC0011,88166,2018,01,11,,,
IDCJAC0011,88166,2018,01,12,,,
IDCJAC0011,88166,2018,01,13,,,
IDCJAC0011,88166,2018,01,14,,,
IDCJAC0011,88166,2018,01,15,,,
IDCJAC0011,88166,2018,01,16,,,
IDCJAC0011,88166,2018,01,17,,,
IDCJAC0011,88166,2018,01,18,,,
IDCJAC0011,88166,2018,01,19,,,
IDCJAC0011,88166,2018,01,20,,,
IDCJAC0011,88166,2018,01,21,,,
IDCJAC0011,88166,2018,01,22,,,
IDCJAC0011,88166,2018,01,23,,,
IDCJAC0011,88166,2018,01,24,,,
IDCJAC0011,88166,2018,01,25,,,
IDCJAC0011,88166,2018,01,26,,,
IDCJAC0011,88166,2018,01,27,,,
IDCJAC0011,88166,2018,01,28,,,
IDCJAC0011,88166,2018,01,29,,,
IDCJAC0011,88166,2018,01,30,,,
IDCJAC0011,88166,2018,01,31,,,
IDCJAC0011,88166,2018,02,01,,,
IDCJAC0011,88166,2018,02,02,,,
IDCJAC0011,88166,2018,02,03,,,
IDCJAC0011,88166,2018,02,04,,,
IDCJAC0011,88166,2018,02,05,,,
IDCJAC0011,88166,2018,02,06,,,
IDCJAC0011,88166,2018,02,07,,,
IDCJAC0011,88166,2018,02,08,,,
IDCJAC0011,88166,2018,02,09,,,
IDCJAC0011,88166,2018,02,10,,,
IDCJAC0011,88166,2018,02,11,,,
IDCJAC0011,88166,2018,02,12,,,
IDCJAC0011,88166,2018,02,13,,,
IDCJAC0011,88166,2018,02,14,,,
IDCJAC0011,88166,2018,02,15,,,
IDCJAC0011,88166,2018,02,16,,,
IDCJAC0011,88166,2018,02,17,,,
IDCJAC0011,88166,2018,02,18,,,
IDCJAC0011,88166,2018,02,19,,,
IDCJAC0011,88166,2018,02,20,,,
IDCJAC0011,88166,2018,02,21,,,
IDCJAC0011,88166,2018,02,22,,,
IDCJAC0011,88166,2018,02,23,,,
IDCJAC0011,88166,2018,02,24,,,
IDCJAC0011,88166,2018,02,25,,,
IDCJAC0011,88166,2018,02,26,,,
IDCJAC0011,88166,2018,02,27,,,
IDCJAC0011,88166,2018,02,28,,,
IDCJAC0011,88166,2018,03,01,,,
IDCJAC0011,88166,2018,03,02,,,
IDCJAC0011,88166,2018,03,03,,,
IDCJAC0011,88166,2018,03,04,,,
IDCJAC0011,88166,2018,03,05,,,
IDCJAC0011,88166,2018,03,06,,,
IDCJAC0011,88166,2018,03,07,,,
IDCJAC0011,88166,2018,03,08,,,
IDCJAC0011,88166,2018,03,09,,,
IDCJAC0011,88166,2018,03,10,,,
IDCJAC0011,88166,2018,03,11,,,
IDCJAC0011,88166,2018,03,12,,,
IDCJAC0011,88166,2018,03,13,,,
IDCJAC0011,88166,2018,03,14,,,
IDCJAC0011,88166,2018,03,15,,,
IDCJAC0011,88166,2018,03,16,,,
IDCJAC0011,88166,2018,03,17,,,
IDCJAC0011,88166,2018,03,18,,,
IDCJAC0011,88166,2018,03,19,,,
IDCJAC0011,88166,2018,03,20,,,
IDCJAC0011,88166,2018,03,21,,,
IDCJAC0011,88166,2018,03,22,,,
IDCJAC0011,88166,2018,03,23,,,
IDCJAC0011,88166,2018,03,24,,,
IDCJAC0011,88166,2018,03,25,,,
IDCJAC0011,88166,2018,03,26,,,
IDCJAC0011,88166,2018,03,27,,,
IDCJAC0011,88166,2018,03,28,,,
IDCJAC0011,88166,2018,03,29,,,
IDCJAC0011,88166,2018,03,30,,,
IDCJAC0011,88166,2018,03,31,,,
IDCJAC0011,88166,2018,04,01,,,
IDCJAC0011,88166,2018,04,02,,,
IDCJAC0011,88166,2018,04,03,,,
IDCJAC0011,88166,2018,04,04,,,
IDCJAC0011,88166,2018,04,05,,,
IDCJAC0011,88166,2018,04,06,,,
IDCJAC0011,88166,2018,04,07,,,
IDCJAC0011,88166,2018,04,08,,,
IDCJAC0011,88166,2018,04,09,,,
IDCJAC0011,88166,2018,04,10,,,
IDCJAC0011,88166,2018,04,11,,,
IDCJAC0011,88166,2018,04,12,,,
IDCJAC0011,88166,2018,04,13,,,
IDCJAC0011,88166,2018,04,14,,,
IDCJAC0011,88166,2018,04,15,,,
IDCJAC0011,88166,2018,04,16,,,
IDCJAC0011,88166,2018,04,17,,,
IDCJAC0011,88166,2018,04,18,,,
IDCJAC0011,88166,2018,04,19,,,
IDCJAC0011,88166,2018,04,20,,,
IDCJAC0011,88166,2018,04,21,,,
IDCJAC0011,88166,2018,04,22,,,
IDCJAC0011,88166,2018,04,23,,,
IDCJAC0011,88166,2018,04,24,,,
IDCJAC0011,88166,2018,04,25,,,
IDCJAC0011,88166,2018,04,26,,,
