Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,87080,1984,01,01,,,
IDCJAC0011,87080,1984,01,02,,,
IDCJAC0011,87080,1984,01,03,,,
IDCJAC0011,87080,1984,01,04,,,
IDCJAC0011,87080,1984,01,05,,,
IDCJAC0011,87080,1984,01,06,,,
IDCJAC0011,87080,1984,01,07,,,
IDCJAC0011,87080,1984,01,08,,,
IDCJAC0011,87080,1984,01,09,,,
IDCJAC0011,87080,1984,01,10,,,
IDCJAC0011,87080,1984,01,11,,,
IDCJAC0011,87080,1984,01,12,,,
IDCJAC0011,87080,1984,01,13,,,
IDCJAC0011,87080,1984,01,14,,,
IDCJAC0011,87080,1984,01,15,,,
IDCJAC0011,87080,1984,01,16,,,
IDCJAC0011,87080,1984,01,17,,,
IDCJAC0011,87080,1984,01,18,,,
IDCJAC0011,87080,1984,01,19,,,
IDCJAC0011,87080,1984,01,20,,,
IDCJAC0011,87080,1984,01,21,,,
IDCJAC0011,87080,1984,01,22,,,
IDCJAC0011,87080,1984,01,23,,,
IDCJAC0011,87080,1984,01,24,,,
IDCJAC0011,87080,1984,01,25,,,
IDCJAC0011,87080,1984,01,26,,,
IDCJAC0011,87080,1984,01,27,,,
IDCJAC0011,87080,1984,01,28,,,
IDCJAC0011,87080,1984,01,29,,,
IDCJAC0011,87080,1984,01,30,,,
IDCJAC0011,87080,1984,01,31,,,
IDCJAC0011,87080,1984,02,01,,,
IDCJAC0011,87080,1984,02,02,,,
IDCJAC0011,87080,1984,02,03,,,
IDCJAC0011,87080,1984,02,04,,,
IDCJAC0011,87080,1984,02,05,,,
IDCJAC0011,87080,1984,02,06,,,
IDCJAC0011,87080,1984,02,07,,,
IDCJAC0011,87080,1984,02,08,,,
IDCJAC0011,87080,1984,02,09,,,
IDCJAC0011,87080,1984,02,10,,,
IDCJAC0011,87080,1984,02,11,,,
IDCJAC0011,87080,1984,02,12,,,
IDCJAC0011,87080,1984,02,13,,,
IDCJAC0011,87080,1984,02,14,,,
IDCJAC0011,87080,1984,02,15,,,
IDCJAC0011,87080,1984,02,16,,,
IDCJAC0011,87080,1984,02,17,,,
IDCJAC0011,87080,1984,02,18,,,
IDCJAC0011,87080,1984,02,19,,,
IDCJAC0011,87080,1984,02,20,,,
IDCJAC0011,87080,1984,02,21,,,
IDCJAC0011,87080,1984,02,22,,,
IDCJAC0011,87080,1984,02,23,,,
IDCJAC0011,87080,1984,02,24,,,
IDCJAC0011,87080,1984,02,25,,,
IDCJAC0011,87080,1984,02,26,,,
IDCJAC0011,87080,1984,02,27,,,
IDCJAC0011,87080,1984,02,28,,,
IDCJAC0011,87080,1984,02,29,,,
IDCJAC0011,87080,1984,03,01,,,
IDCJAC0011,87080,1984,03,02,,,
IDCJAC0011,87080,1984,03,03,,,
IDCJAC0011,87080,1984,03,04,,,
IDCJAC0011,87080,1984,03,05,,,
IDCJAC0011,87080,1984,03,06,,,
IDCJAC0011,87080,1984,03,07,,,
IDCJAC0011,87080,1984,03,08,,,
IDCJAC0011,87080,1984,03,09,,,
IDCJAC0011,87080,1984,03,10,,,
IDCJAC0011,87080,1984,03,11,,,
IDCJAC0011,87080,1984,03,12,,,
IDCJAC0011,87080,1984,03,13,,,
IDCJAC0011,87080,1984,03,14,,,
IDCJAC0011,87080,1984,03,15,,,
IDCJAC0011,87080,1984,03,16,,,
IDCJAC0011,87080,1984,03,17,,,
IDCJAC0011,87080,1984,03,18,,,
IDCJAC0011,87080,1984,03,19,,,
IDCJAC0011,87080,1984,03,20,,,
IDCJAC0011,87080,1984,03,21,,,
IDCJAC0011,87080,1984,03,22,,,
IDCJAC0011,87080,1984,03,23,,,
IDCJAC0011,87080,1984,03,24,,,
IDCJAC0011,87080,1984,03,25,,,
IDCJAC0011,87080,1984,03,26,,,
IDCJAC0011,87080,1984,03,27,,,
IDCJAC0011,87080,1984,03,28,,,
IDCJAC0011,87080,1984,03,29,,,
IDCJAC0011,87080,1984,03,30,,,
IDCJAC0011,87080,1984,03,31,,,
IDCJAC0011,87080,1984,04,01,,,
IDCJAC0011,87080,1984,04,02,,,
IDCJAC0011,87080,1984,04,03,,,
IDCJAC0011,87080,1984,04,04,,,
IDCJAC0011,87080,1984,04,05,,,
IDCJAC0011,87080,1984,04,06,,,
IDCJAC0011,87080,1984,04,07,,,
IDCJAC0011,87080,1984,04,08,,,
IDCJAC0011,87080,1984,04,09,,,
IDCJAC0011,87080,1984,04,10,,,
IDCJAC0011,87080,1984,04,11,,,
IDCJAC0011,87080,1984,04,12,,,
IDCJAC0011,87080,1984,04,13,,,
IDCJAC0011,87080,1984,04,14,,,
IDCJAC0011,87080,1984,04,15,,,
IDCJAC0011,87080,1984,04,16,,,
IDCJAC0011,87080,1984,04,17,,,
IDCJAC0011,87080,1984,04,18,,,
IDCJAC0011,87080,1984,04,19,,,
IDCJAC0011,87080,1984,04,20,,,
IDCJAC0011,87080,1984,04,21,,,
IDCJAC0011,87080,1984,04,22,,,
IDCJAC0011,87080,1984,04,23,,,
IDCJAC0011,87080,1984,04,24,,,
IDCJAC0011,87080,1984,04,25,,,
IDCJAC0011,87080,1984,04,26,,,
IDCJAC0011,87080,1984,04,27,,,
IDCJAC0011,87080,1984,04,28,,,
IDCJAC0011,87080,1984,04,29,,,
IDCJAC0011,87080,1984,04,30,,,
