Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,81070,1898,01,01,,,
IDCJAC0009,81070,1898,01,02,,,
IDCJAC0009,81070,1898,01,03,,,
IDCJAC0009,81070,1898,01,04,,,
IDCJAC0009,81070,1898,01,05,,,
IDCJAC0009,81070,1898,01,06,,,
IDCJAC0009,81070,1898,01,07,,,
IDCJAC0009,81070,1898,01,08,,,
IDCJAC0009,81070,1898,01,09,,,
IDCJAC0009,81070,1898,01,10,,,
IDCJAC0009,81070,1898,01,11,,,
IDCJAC0009,81070,1898,01,12,,,
IDCJAC0009,81070,1898,01,13,,,
IDCJAC0009,81070,1898,01,14,,,
IDCJAC0009,81070,1898,01,15,,,
IDCJAC0009,81070,1898,01,16,,,
IDCJAC0009,81070,1898,01,17,,,
IDCJAC0009,81070,1898,01,18,,,
IDCJAC0009,81070,1898,01,19,,,
IDCJAC0009,81070,1898,01,20,,,
IDCJAC0009,81070,1898,01,21,,,
IDCJAC0009,81070,1898,01,22,,,
IDCJAC0009,81070,1898,01,23,,,
IDCJAC0009,81070,1898,01,24,,,
IDCJAC0009,81070,1898,01,25,,,
IDCJAC0009,81070,1898,01,26,,,
IDCJAC0009,81070,1898,01,27,,,
IDCJAC0009,81070,1898,01,28,,,
IDCJAC0009,81070,1898,01,29,,,
IDCJAC0009,81070,1898,01,30,,,
IDCJAC0009,81070,1898,01,31,,,
IDCJAC0009,81070,1898,02,01,,,
IDCJAC0009,81070,1898,02,02,,,
IDCJAC0009,81070,1898,02,03,,,
IDCJAC0009,81070,1898,02,04,,,
IDCJAC0009,81070,1898,02,05,,,
IDCJAC0009,81070,1898,02,06,,,
IDCJAC0009,81070,1898,02,07,,,
IDCJAC0009,81070,1898,02,08,,,
IDCJAC0009,81070,1898,02,09,,,
IDCJAC0009,81070,1898,02,10,,,
IDCJAC0009,81070,1898,02,11,,,
IDCJAC0009,81070,1898,02,12,,,
IDCJAC0009,81070,1898,02,13,,,
